City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
nobeoka,0,JP,4,53,32.66,131.66,48.01,3.38
labutta,,,,,,,,
dogondoutchi,0,NE,4,33,13.64,4.03,75.28,7.74
saldanha,48,PT,4,84,41.42,-6.55,40.76,2.93
scottsburgh,,,,,,,,
carikar,,,,,,,,
tumannyy,,,,,,,,
vao,92,EE,4,96,59.1,26.19,30.1,9.86
lavrentiya,88,RU,4,97,65.58,-170.99,30.82,12.44
mersin,75,TR,4,93,36.81,34.63,52,4.7
maple creek,0,CA,4,70,49.91,-109.46,6.97,14.56
bondo,24,CD,4,83,3.81,23.69,73.84,1.92
korla,,,,,,,,
visnes,80,NO,4,93,59.36,5.22,42.01,3.36
kantunilkin,40,MX,4,74,21.1,-87.49,80.6,10.29
cabo san lucas,5,MX,4,47,22.89,-109.91,82,5.82
samarai,64,PG,4,100,-10.62,150.67,78.92,2.71
adiake,0,CI,4,79,5.29,-3.3,84.2,9.17
tromso,90,NO,4,85,69.65,18.96,10.4,13.87
ballina,75,IE,4,100,54.11,-9.15,41,6.93
fallon,40,US,4,71,46.84,-105.12,6.8,26.4
taoudenni,0,ML,4,25,22.68,-3.98,53.14,6.06
clarksburg,1,US,4,55,39.24,-77.28,36,14.99
rabo de peixe,75,PT,4,93,37.8,-25.58,62.6,23.04
narsaq,75,GL,4,63,60.91,-46.05,26.6,3.36
merauke,12,ID,4,92,-8.49,140.4,83.42,5.61
la fria,40,VE,4,58,8.22,-72.25,86,5.82
nanortalik,36,GL,4,100,60.14,-45.24,24.25,6.62
plymouth,40,GB,4,93,50.37,-4.14,45,2.24
erie,90,US,4,72,42.13,-80.09,19,14.99
zhigansk,76,RU,4,69,66.77,123.37,-1.68,5.61
chara,0,GR,4,75,39.42,22.43,42.8,2.37
puerto del rosario,75,ES,4,68,28.5,-13.86,64.4,13.87
male,48,UA,4,90,50.74,33.7,36.58,11.99
waipawa,0,NZ,4,44,-39.94,176.59,75.99,1.99
cintalapa,0,MX,4,61,16.7,-93.73,77.84,9.86
madison,1,US,4,55,43.07,-89.38,8.6,13.87
cidreira,0,BR,4,77,-30.17,-50.22,78.25,16.24
findhorn,0,GB,4,93,57.66,-3.61,39.2,4.7
comodoro rivadavia,20,AR,4,27,-45.87,-67.48,64.4,26.4
grand river south east,,,,,,,,
boffa,32,GN,4,86,10.18,-14.04,74.47,6.62
filadelfia,76,PY,4,40,-22.35,-60.04,95.62,14.45
semporna,75,MY,4,94,4.48,118.61,73.4,8.75
livingston,1,US,4,60,32.58,-88.19,41,9.17
luderitz,0,NA,4,72,-26.65,15.16,65.65,20.71
durazno,92,UY,4,97,-33.38,-56.52,68.26,7.07
sioux lookout,90,CA,4,65,50.1,-91.92,6.8,5.82
saleaula,,,,,,,,
luis correia,80,BR,4,98,-2.88,-41.67,74.92,3.6
sitka,0,US,4,58,37.17,-99.65,18,8.01
springbok,0,ZA,4,87,-29.67,17.88,57.28,3.38
biltine,32,TD,4,35,14.53,20.93,75.64,8.41
deputatskiy,20,RU,4,42,69.3,139.9,-28.41,2.82
grindavik,20,IS,4,68,63.84,-22.43,27,9.17
afsin,80,TR,4,89,38.25,36.91,26.54,2.26
adre,24,TD,4,35,13.47,22.2,69.47,8.63
longyearbyen,75,NO,4,70,78.22,15.63,-2.21,2.24
ghatanji,0,IN,4,53,20.14,78.32,68.26,7.74
kozhva,20,RU,4,60,65.11,57.05,-7.39,6.4
huarmey,48,PE,4,68,-10.07,-78.15,72.71,2.93
mindelo,40,PT,4,76,41.31,-8.72,55.99,8.05
zacualpan,5,MX,4,39,21.25,-105.17,82.4,6.93
itarema,88,BR,4,97,-2.92,-39.92,75.64,3.94
henties bay,20,NA,4,85,-22.12,14.28,68,5.01
namatanai,68,PG,4,95,-3.66,152.44,84.37,6.17
ladnun,0,IN,4,86,27.64,74.39,46.3,2.93
kachug,8,RU,4,52,53.96,105.89,-5.68,2.48
san vicente,40,SV,4,70,13.64,-88.78,86,10.29
eidfjord,68,NO,4,83,60.47,7.07,28.99,2.37
great bend,1,US,4,61,38.36,-98.78,16,12.75
muros,75,ES,4,93,42.77,-9.06,54,4.7
celestun,0,MX,4,95,20.87,-90.4,79.33,15.79
morros,75,BR,4,88,-2.87,-44.04,77,9.17
pochutla,75,MX,4,74,15.74,-96.47,84.2,8.05
oktyabrskoye,75,RU,4,86,56.73,85.44,33.8,15.66
ust-kulom,0,RU,4,61,61.69,53.69,-8.07,2.59
ugra,92,RU,4,94,54.78,34.32,40.04,11.21
svetlogorsk,90,RU,4,78,53.14,59.15,14,8.95
nizhneyansk,,,,,,,,
shibetsu,75,JP,4,92,44.15,142.46,24.8,2.24
foca,0,TR,4,86,38.67,26.76,48.99,2.37
sangar,36,RU,4,57,63.92,127.47,-12.43,1.14
zhangzhou,75,CN,4,67,24.51,117.65,59,6.71
amderma,,,,,,,,
dubbo,32,AU,4,39,-32.25,148.6,82.4,18.34
khonuu,,,,,,,,
havoysund,75,NO,4,72,71,24.66,17.6,31.09
knokke-heist,32,BE,4,70,51.33,3.33,46.4,32.21
salalah,0,OM,4,64,17.01,54.1,75.2,3.36
rzhev,88,RU,4,97,56.26,34.33,32.98,10.65
bonavista,92,CA,4,87,48.65,-53.11,25,8.01
embu,56,KE,4,96,-0.54,37.46,58.49,2.59
lompoc,40,US,4,62,34.64,-120.46,62.01,13.87
tamiahua,92,MX,4,100,21.28,-97.45,64.03,20.15
rovaniemi,0,FI,4,77,66.5,25.72,5,9.17
kaeo,0,NZ,4,55,-35.1,173.78,79,3
ketchikan,1,US,4,48,55.34,-131.65,44.6,12.75
igrim,64,RU,4,82,63.19,64.42,9.31,4.72
hihya,75,EG,4,77,30.67,31.59,59,8.05
brae,56,GB,4,80,60.4,-1.35,42.8,16.11
cherlak,24,RU,4,82,54.15,74.8,14.44,14.23
san felipe,0,CL,4,37,-32.75,-70.73,72,1.01
atar,8,MR,4,25,20.52,-13.05,60.61,7.63
mazara del vallo,0,IT,4,87,37.65,12.59,57,8.05
vaitupu,,,,,,,,
coihaique,75,CL,4,54,-45.58,-72.07,53.6,5.82
morozovsk,92,RU,4,93,48.35,41.83,34.91,13.22
kamenskoye,,,,,,,,
hofn,32,IS,4,100,64.25,-15.21,33.88,21.5
kununurra,0,AU,4,78,-15.77,128.74,80.6,1.12
kruisfontein,0,ZA,4,83,-34,24.73,60.92,7.85
anadyr,40,RU,4,92,64.73,177.51,28.4,35.79
rio gallegos,20,AR,4,32,-51.62,-69.22,51.8,17.22
olafsvik,,,,,,,,
duldurga,76,RU,4,77,50.67,113.59,18.13,5.17
buala,80,SB,4,85,-8.15,159.59,84.32,4.83
gazojak,20,TM,4,84,41.19,61.4,29.65,3.94
ribeira grande,44,PT,4,99,38.52,-28.7,60.29,41.07
egvekinot,68,RU,4,92,66.32,-179.17,27.04,8.97
port hardy,20,CA,4,41,50.7,-127.42,42.8,6.93
galle,90,US,4,41,29.74,-97.91,39.2,16.11
bayan,0,MN,4,50,47.25,107.54,4.72,4.61
vila velha,75,BR,4,78,-3.71,-38.6,82.4,6.93
conde,88,BR,4,86,-11.81,-37.61,81.71,8.19
castro,75,CL,4,81,-42.48,-73.76,53.6,12.75
tsaratanana,44,MG,4,97,-16.8,47.65,68.39,2.48
buctzotz,80,MX,4,39,21.2,-88.79,89.59,4.94
bilibino,44,RU,4,75,68.06,166.44,-4.51,2.71
mocajuba,76,BR,4,94,-2.58,-49.5,74.96,3.38
siocon,68,PH,4,98,11.03,124.04,78.74,11.99
pangody,80,RU,4,86,65.85,74.49,11.47,19.26
rio grande,68,BR,4,68,-32.03,-52.1,81.4,16.8
fortuna,0,ES,4,48,38.18,-1.13,66.2,11.41
erzurum,75,TR,4,84,39.91,41.27,8.6,1.12
ginir,56,ET,4,75,7.14,40.71,59.84,4.38
buraydah,0,SA,4,58,26.33,43.97,53.6,10.29
tiksi,0,RU,4,57,71.64,128.87,-12.21,9.31
iqaluit,90,CA,4,76,63.75,-68.52,-5.81,1.81
tupiza,68,BO,4,15,-21.44,-65.72,53.54,3.38
natal,40,BR,4,88,-5.81,-35.21,78.8,5.82
eureka,1,US,4,62,40.8,-124.16,53.01,10.29
nizhnyaya omka,36,RU,4,84,55.43,74.94,13.94,13.67
jelgava,75,LV,4,87,56.65,23.73,42.8,12.75
snyder,90,US,4,39,32.72,-100.92,30.99,10.29
nhulunbuy,75,AU,4,83,-12.18,136.78,82.4,4.7
martorell,80,ES,4,87,41.48,1.93,57,5.82
aklavik,5,CA,4,63,68.22,-135.01,26.6,11.41
santa eulalia del rio,,,,,,,,
fuerte olimpo,64,BR,4,48,-21.04,-57.87,89.05,9.31
xianyang,68,CN,4,93,34.31,108.72,35.6,2.24
samusu,,,,,,,,
miranorte,,,,,,,,
kasongo,80,CD,4,94,-4.43,26.67,69.97,2.82
acapulco,20,MX,4,74,16.86,-99.88,82.4,9.17
san ignacio,0,CL,4,43,-36.8,-72.03,69.8,11.41
cockburn town,0,TC,4,95,21.46,-71.14,79.01,14.12
tiarei,20,PF,4,62,-17.53,-149.33,87.8,8.05
hobyo,24,SO,4,90,5.35,48.53,76.63,12.44
swan hill,24,AU,4,88,-35.34,143.56,75.1,5.73
jibuti,,,,,,,,
pisco,0,PE,4,30,-13.71,-76.2,71.6,19.46
yelanskiy,0,RU,4,77,56.84,62.5,10.52,9.64
mantua,0,IT,4,93,45.16,10.79,51.01,3.36
iquitos,20,PE,4,319,-3.75,-73.25,42.8,2.24
bargal,,,,,,,,
leshukonskoye,56,RU,4,78,64.9,45.76,8.36,5.73
cururupu,76,BR,4,92,-1.82,-44.87,76.99,4.05
birobidzhan,12,RU,4,61,48.79,132.93,25.78,2.59
zuwarah,0,LY,4,100,32.93,12.08,51.34,6.17
sur,0,OM,4,100,22.57,59.53,67.31,9.64
westpunt,,,,,,,,
ahipara,0,NZ,4,71,-35.17,173.16,79,1.99
santa vitoria,8,BR,4,84,-7.82,-67.03,80.32,3.27
ranong,20,TH,4,100,9.96,98.62,71.6,4.38
remontnoye,92,RU,4,85,46.56,43.66,35.6,17.9
saint-joseph,0,FR,4,35,43.56,6.97,59,8.05
krasnoselkup,,,,,,,,
halalo,,,,,,,,
gusau,8,NG,4,57,12.17,6.66,68.35,3.49
laela,32,TZ,4,87,-8.57,32.05,54.44,2.37
yar-sale,80,RU,4,85,66.83,70.83,2.2,13.22
akyab,,,,,,,,
ponta delgada,75,PT,4,93,37.73,-25.67,62.6,23.04
esfahan,0,IR,4,54,32.66,51.68,30.2,2.82
yanan,,,,,,,,
vologda,80,RU,4,84,59.22,39.89,14.8,9.19
katsuura,20,JP,4,65,33.93,134.5,46.4,6.93
gorontalo,0,ID,4,71,0.54,123.06,78.25,2.59
cap malheureux,40,MU,4,83,-19.98,57.61,78.8,4.7
gamba,32,CN,4,52,28.28,88.52,-8.29,2.15
rocha,88,UY,4,90,-34.48,-54.34,70.46,6.96
coquimbo,0,CL,4,72,-29.95,-71.34,66.2,5.82
tabou,0,CI,4,92,4.42,-7.36,84.59,8.75
serednye vodyane,92,UA,4,65,47.98,23.91,53.01,3.36
phetchabun,20,TH,4,83,16.42,101.16,73.4,2.24
oinoussai,,,,,,,,
kloulklubed,75,PW,4,74,7.04,134.26,82.4,13.87
wajima,20,JP,4,87,37.4,136.9,42.8,2.24
kontagora,0,NG,4,53,10.4,5.47,77.98,8.52
bocsa,0,RO,4,66,45.37,21.71,52,9.17
fevralsk,,,,,,,,
gat,0,SN,4,56,14.69,-16.54,68,19.46
fairbanks,20,US,4,67,64.84,-147.72,32,4.7
abu kamal,0,SY,4,79,34.45,40.92,38.42,2.93
nome,90,US,4,74,30.04,-94.42,39,11.41
saryshagan,,,,,,,,
devonport,68,AU,4,60,-41.18,146.36,66.99,5.01
jega,0,NG,4,33,12.22,4.38,75.77,7.74
beloha,32,MG,4,92,-25.17,45.06,74.56,6.73
solnechnyy,0,RU,4,75,50.72,136.64,14.98,4.72
sept-iles,90,CA,4,92,50.2,-66.38,25,11.41
kharp,76,RU,4,74,66.82,65.8,-0.33,5.17
inhambane,100,MZ,4,91,-23.87,35.38,81.31,9.86
purranque,75,CL,4,71,-40.91,-73.16,55.4,8.05
dzhusaly,,,,,,,,
yatou,75,CM,4,88,3.63,9.81,80.6,9.17
plettenberg bay,24,ZA,4,100,-34.05,23.37,64.84,5.39
zelenoborsk,64,RU,4,79,61.47,64.05,9.94,4.72
avdiyivka,,,,,,,,
aktau,75,KZ,4,86,43.65,51.16,28.4,4.47
bairiki,,,,,,,,
boyolangu,12,ID,4,97,-8.09,111.9,73.97,3.15
malm,0,NO,4,78,64.07,11.22,24.01,9.17
preobrazheniye,32,RU,4,58,42.9,133.91,34.91,2.04
jiangyou,92,CN,4,70,31.78,104.73,47.69,6.17
minamata,0,JP,4,100,32.18,130.48,41,3.36
gorom-gorom,12,BF,4,58,14.45,-0.24,64.21,3.6
banda aceh,20,ID,4,98,5.56,95.32,72.31,1.14
mirabela,0,BR,4,47,-16.25,-44.16,80.6,6.93
santiago del estero,8,AR,4,83,-27.8,-64.26,77.66,7.52
umea,12,SE,4,100,63.83,20.26,20.02,15.12
meyungs,,,,,,,,
lucea,75,JM,4,74,18.44,-78.17,80.6,16.11
pathein,0,MM,4,86,16.78,94.73,62.99,4.72
esperance,20,TT,4,73,10.24,-61.45,79,12.75
shenkursk,44,RU,4,76,62.11,42.91,9.04,5.17
maloshuyka,,,,,,,,
nara,20,JP,4,65,34.68,135.8,48.2,2.24
maralal,8,KE,4,93,1.1,36.7,53.95,3.15
ambodifototra,,,,,,,,
umzimvubu,,,,,,,,
nagapattinam,12,IN,4,82,10.76,79.84,75.91,9.86
bonnyville,75,CA,4,32,54.27,-110.74,26.6,8.05
gaoua,0,BF,4,25,10.33,-3.18,75.77,8.63
guantanamo,75,BO,4,70,-16.14,-62.05,84.2,11.41
biaora,0,IN,4,66,23.92,76.91,53.77,8.3
winneba,75,GH,4,88,5.35,-0.62,82.4,12.75
attawapiskat,,,,,,,,
vila do maio,0,CV,4,77,15.13,-23.22,68,19.46
mitsamiouli,20,KM,4,83,-11.38,43.28,78.8,2.24
puerto escondido,40,MX,4,70,15.86,-97.07,84.2,11.41
